state_id,state,year,union_density,num_strikes,left_wing,state_pop,manufact,real_median_in,num_firms,manufact_per,rtw,rtw_year,ln_state_pop,ln_manufact,ln_num_firms,ln_real_median_in,num_esops_form_5500
27,NC,2009,3.1,0,1,9380884,448100,58990,169798,4.77673532686259,1,0,16.0541845596122,13.0127717007742,12.042364774227,10.9851232169971,124
27,NC,2010,3.2,0,1,9535483,432500,60860,168938,4.53569053607458,1,0,16.0705304512135,12.9773376053541,12.0372870626889,11.016331423451,120
27,NC,2011,2.9,0,1,9656401,434000,60880,165895,4.4944281000758,1,0,16.0831315694805,12.9807998130825,12.0191103370866,11.0166599925356,120
27,NC,2012,2.9,0,1,9748181,440400,54900,167077,4.51776592986938,1,0,16.0925912614662,12.9954386838307,12.0262100629795,10.9132686274976,135
27,NC,2013,3,0,0,9848060,443300,60490,167548,4.50139418321984,1,0,16.1027850394355,13.0020020207331,12.0290251563589,11.010233341101,134
27,NC,2014,2,0,0,9893963,449700,60210,168472,4.54519589369801,1,0,16.1074353311226,13.0163359727588,12.0345248428596,11.0055937304585,124
27,NC,2015,3.1,0,0,9752073,462100,65430,171419,4.73847970580204,1,0,16.0929904357592,13.0435365968584,12.0518661308108,11.0887361478638,123
27,NC,2016,3.1,0,0,10146788,465500,68640,174314,4.58765867582924,1,0,16.1326677601682,13.0508673756993,12.0686135495677,11.1366307341618,121
27,NC,2017,3.4,0,1,10273419,468500,62170,177764,4.56031239453973,1,0,16.1450704378944,13.0572913806606,12.0882121068705,11.0376278472634,115
27,NC,2018,2.7,1,1,10381615,475100,65640,180263,4.5763592658753,1,0,16.1555470112681,13.071280587175,12.1021721745992,11.091940545204,116
27,NC,2019,2.4,2,1,10488084,477900,74120,182451,4.55659966110111,1,0,16.1657503135469,13.0771567845662,12.1142369228033,11.2134406803993,121
27,NC,2020,3.2,0,1,10439388,453500,72480,185196,4.3441243873683,1,0,16.1610965180109,13.0247505485373,12.1291700026888,11.1910659407169,125
27,NC,2021,2.6,0,1,10551162,463200,72210,191984,4.39003779868037,1,0,16.1717465540012,13.0459142052409,12.1651673142042,11.1873338194452,119
28,ND,1999,9.5,0,0,633666,22800,57770,17407,3.59811004535512,1,0,13.359277280724,10.0345158149425,9.76462770315271,10.9642248887753,NA
28,ND,2000,6.6,0,0,642200,23800,61550,17163,3.70601058860168,1,0,13.3726550606376,10.0774408596596,9.75051118293664,11.0276051316126,44
28,ND,2001,7.4,0,0,636550,24000,59850,17141,3.77032440499568,1,0,13.3638182484898,10.0858091093301,9.74922853350706,10.9995967109861,45
28,ND,2002,8.3,0,0,634110,23700,59780,17151,3.73752188106165,1,0,13.359977719947,10.0732303271232,9.74981175993208,10.9984264358379,47
28,ND,2003,7.5,0,0,633837,23500,65380,17224,3.70757781574758,1,0,13.3595471025723,10.0647557001323,9.7540590390442,11.0879716802782,48
28,ND,2004,7.8,0,0,634366,24600,61900,17572,3.87788752865065,1,0,13.3603813539195,10.1105017219205,9.77406200509567,11.0332754586727,46
28,ND,2005,7.5,0,0,636677,25900,64720,17755,4.06799680214614,1,0,13.3640177415895,10.1619982476876,9.78442244537719,11.0778255517324,43
28,ND,2006,7,0,0,635365,26000,61180,17872,4.09213601630559,1,0,13.3619549158884,10.1658518170036,9.79099052130898,11.0215756177049,46
28,ND,2007,6.6,0,0,636771,26100,68600,17881,4.0988047508445,1,0,13.3641653722743,10.1696905933108,9.7914939755752,11.136047813714,46
28,ND,2008,6.2,0,0,638202,26400,69580,17922,4.13662132052234,1,0,13.3664101266352,10.1811192891344,9.79378428744416,11.1502324487059,41
28,ND,2009,7,0,0,646844,23500,70480,17845,3.63302434590102,1,0,13.3798604315822,10.0647557001323,9.78947863592426,11.1630842606101,48
28,ND,2010,7.5,0,0,672591,22600,70820,18169,3.36014011486921,1,0,13.4188926972889,10.0257051852604,9.80747212410244,11.1678967256659,49
